Mouse lncRNA	Human lncRNA	TTI	TGI	Confidence	T Cell subtypes
Gm28192	AC132872.3	0.51	0.64	-	T4,T8,Tgd,Treg
Gt(ROSA)26Sor	THUMPD3-AS1	0.54	0.63	-	T4,T8,Tgd,Treg
Lnc-Mturn-1	AC007036.1	0.26	0.46	Intermediate confidence	Tgd
Gm20324	OGFRP1	0.44	0.71	-	T4,T8,Tgd,Treg
Gm37176	SATB1-AS1	0.04	0.44	-	T4,T8,Tgd,Treg
Gm42509	AC007384.1	0.16	0.6	-	T8,Treg
Zbtb11os1	ZBTB11-AS1	0.69	0.69	-	T4,T8,Tgd,Treg
Lnc-Cystm1-1	AC011379.2	0.0	0.64	Low confidence	T4,T8,Tgd
1810026B05Rik	LINC01578	0.81	0.65	-	T4,T8,Tgd,Treg
Lnc-Ldlrap1-1	AL606491.1	0.06	0.13	Intermediate confidence	T4,T8,Tgd,Treg
Gm15473	AC073130.3	0.23	0.12	-	T4,T8,Tgd
Gm5914	AC027682.4	0.79	0.62	-	Treg
Gm16337	AC022778.1	0.2	0.08	-	T4,T8,Tgd,Treg
Lnc-Eif4g2-1	ZBED5-AS1	0.42	0.69	Low confidence	T4,T8,Treg
Lnc-Ppp1r3f-1	AC232271.1	0.71	0.71	High confidence	T4,T8,Tgd,Treg
Morrbid	MIR4435-2HG	0.53	0.55	-	T4,T8,Tgd,Treg
Gm49085	UBR5-AS1	0.14	0.48	-	T4,T8,Tgd,Treg
Nup50-AS-1	NUP50-DT	0.15	0.15	Intermediate confidence	T4,T8,Tgd,Treg
Gm48374	WDR37-AS-2	0.14	0.23	-	T4,T8,Tgd,Treg
Sec24c-AS-1	AC022400.8	0.67	0.67	Low confidence	T4,T8,Tgd
Lnc-Chd2-4	LINC01578	0.0	0.58	Low confidence	Tgd
2810002D19Rik	AC087276.3	0.03	0.54	-	T4,T8,Tgd,Treg
Gm15511	RORA-AS1	0.0	0.58	-	Tgd,Treg
Ubash3a-AS-1	UBASH3A-AS-2	0.0	0.61	Low confidence	T4,Treg
A730091E23Rik	GMDS-DT	0.03	0.58	-	T4,T8,Tgd,Treg
2410006H16Rik	SNHG29	0.63	0.68	-	T4,T8,Tgd,Treg
Fyco1-AS-1	FYCO1-AS-1	0.24	0.28	Intermediate confidence	Tgd
BC037032	OXCT1-AS1	0.64	0.64	-	T4,T8,Tgd,Treg
Neat1	NEAT1	0.72	0.72	-	T4,T8,Tgd,Treg
Lnc-Arid2-1	AC008124.1	0.7	0.7	Intermediate confidence	T4
1700096K18Rik	LINC01003	0.31	0.31	-	T4,T8,Tgd,Treg
Gm27162	LNC-LINC02098-3	0.0	0.11	-	T4,T8,Tgd,Treg
Lnc-Ankhd1-1	AC008438.1	0.03	0.71	High confidence	T4,T8,Tgd,Treg
Lnc-Il6st-1	AC016596.1	0.65	0.71	Low confidence	Treg
Gm37305	CCNL1-AS-1	0.37	0.37	-	T4,T8,Tgd,Treg
5930420M18Rik	AGBL5-IT1	0.09	0.19	-	Treg
Gm13833	LINC00513	0.32	0.13	-	T4,T8,Tgd,Treg
Gm29585	AC034102.6	0.71	0.71	-	T4,T8,Tgd
Gm28529	AL391839.2	0.55	0.65	-	Tgd,Treg
Gm17058	AC074032.1	0.0	0.19	-	T4,T8,Tgd,Treg
Gm9725	AC104596.1	0.18	0.36	-	T4,T8,Tgd,Treg
Gm9889	AL109741.1	0.18	0.38	-	T4,T8,Tgd,Treg
Gm43266	LNC-TBC1D19-2	0.0	0.67	-	T8
9530082P21Rik	AC004034.1	0.07	0.52	-	T4,T8
Bach2os	AL121787.1	0.45	0.19	-	Treg
Cd6-AS-1	CD6-AS-1	0.1	0.15	Low confidence	T4,T8,Tgd,Treg
Tcf12-AS-1	AC090517.5	0.23	0.25	Low confidence	Tgd
Hexim2-AS-1	AC138150.1	0.04	0.78	Intermediate confidence	T4,T8,Tgd,Treg
Gm16272	NDUFB2-AS1	0.12	0.1	-	T4,T8,Tgd,Treg
Hspa4-AS-2	AC113410.5	0.23	0.23	Low confidence	T4,T8,Tgd
Dancr	DANCR	0.58	0.69	-	T4,T8,Tgd,Treg
Lnc-Wnt7b-1	PRR34-AS1	0.12	0.67	Intermediate confidence	T8
Rab26os	SNHG19	0.62	0.67	-	T4,T8,Tgd
Mir17hg	MIR17HG	0.45	0.47	-	T4,T8,Tgd,Treg
Lnc-Rack1-1	AC008443.1	0.05	0.58	Low confidence	T4,T8,Tgd,Treg
Rassf1-AS-1	RASSF1-AS1	0.42	0.42	Low confidence	Tgd
5031425E22Rik	KMT2E-AS1	0.22	0.24	-	T4,T8,Tgd,Treg
Gm20490	AL109955.1	0.72	0.72	-	Tgd
Lnc-Mon2-1	AC048341.1	0.13	0.59	Low confidence	T4,T8,Tgd,Treg
Gm17494	AL049796.1	0.14	0.15	-	Treg
Lnc-Nanp-1	ZNF337-AS1	0.19	0.55	Low confidence	T8,Tgd
Lnc-Slc25a15-1	AL158066.1	0.0	0.54	Low confidence	T4,T8
4933406P04Rik	BCLAF1-AS-2	0.67	0.67	-	T4,T8,Tgd
Spg11-AS-1	SPG11-AS-4	0.14	0.06	Intermediate confidence	T4,T8,Tgd,Treg
A130048G24Rik	ANKRD44-IT1	0.1	0.55	-	T8,Tgd,Treg
BC037704	AL353719.1	0.25	0.25	-	Tgd
Lnc-Dnajc3-1	DNAJC3-DT	0.56	0.56	Low confidence	T4,T8,Tgd
1110038B12Rik	SNHG32	0.41	0.57	-	T4,T8,Tgd,Treg
9330162G02Rik	SNHG14	0.03	0.43	-	T4,T8,Tgd,Treg
Gm27008	AL365361.1-AS-1	0.0	0.31	-	T4,T8,Treg
Rptoros	RPTOR-AS-4	0.0	0.51	-	T4,Tgd
Gm38563	PCAT1	0.19	0.61	-	Tgd
Mir133a-1hg	MIR133A1HG	0.33	0.06	-	T8,Treg
Lnc-Agpat5-1	MCPH1-AS1	0.11	0.73	Low confidence	Tgd
Gm42852	ST7-OT4	0.0	0.58	-	T4,T8,Tgd,Treg
Lnc-Stat5b-1	AC099811.5	0.08	0.51	Low confidence	T4,T8,Tgd,Treg
Gm44560	SNHG14	0.0	0.68	-	T4,T8,Tgd,Treg
Lnc-Arid4a-1	PSMA3-AS1	0.03	0.52	High confidence	T4,T8,Treg
Snhg20	SNHG20	0.61	0.73	-	T4,T8,Tgd,Treg
Gm37266	SATB1-AS1	0.22	0.35	-	T4,T8,Tgd,Treg
Lnc-Gm20388-6	SNAI3-AS1	0.11	0.55	High confidence	T4,T8,Tgd,Treg
D030055H07Rik	GLYCTK-AS1	0.17	0.04	-	T4,T8,Tgd
Snhg5	SNHG5	0.68	0.64	-	T4,T8,Tgd,Treg
Gm44040	AC018816.1	0.42	0.04	-	Tgd
Gm44175	CD8B-AS-1	0.03	0.25	-	T8
Lnc-Dnaja2-1	AC018845.3	0.04	0.43	Low confidence	T4,T8
Gm37139	AL590627.3	0.01	0.48	-	T4,T8,Tgd,Treg
Gm20098	SATB1-AS1	0.06	0.2	-	T4,T8
B230303O12Rik	CYP3A5-AS-1	0.36	0.21	-	T4,T8,Tgd,Treg
4930432B10Rik	AL356599.1	0.12	0.54	-	T8,Tgd
Snhg12	SNHG12	0.62	0.56	-	T4,T8,Tgd,Treg
Lnc-Tnfaip3-1	WAKMAR2	0.26	0.22	Low confidence	T4,Tgd
Lzic-AS-1	AL357140.2	0.2	0.32	Low confidence	Tgd
Lnc-Ppp2ca-1	AC104109.2	0.7	0.7	Low confidence	T4
A530072M11Rik	AF117829.1	0.03	0.22	-	Tgd
AI504432	AL365361.1	0.43	0.16	-	T4,T8,Tgd,Treg
1810041H14Rik	UBAC2-AS1	0.0	0.33	-	T4,T8,Tgd,Treg
